Número de libreta, NOTAS
710/19, A
11/18, A
433/19, A
928/19, A
913/13, A
82/18, I
130/15, A
310/17, A
721/19, I
576/19, A
934/19, A
330/14, A
228/19, A
117/19, A
762/19, A
788/19, A
205/19, A
832/19, I
487/18, I
321/19, A
916/12, A
28/19, A
669/17, A
519/15, A
720/19, A
419/18, A
169/19, A
799/19, A
318/19, A
279/14, A
26/19, A
39/17, A
268/19, A
663/16, A
420/11, A
953/05, A
660/19, A
444/19, I
618/19, A
30/14, A
741/19, A
592/19, A
329/19, A
708/19, A
641/19, I
748/19, A
797/19, A
597/19, A
201/19, Aus
756/19, A
75/15, A
234/17, A
381/15, I
718/18, A-
404/11, Aus
285/19, A
366/19, A-
78/15, A
825/17, A-
801/19, A
507/17, A
66/19, A
156/08, I
50/15, A
829/19, A
126/18, A
777/14, A
314/15, A
417/18, A
486/14, -
63/15, A
892/10, A-
422/08, A
682/13, A
704/17, A
145/14, I
314/19, A
727/19, A-
566/18, A-
693/19, A
223/16, A-
753/19, A
217/19, A
197/20, A
664/19, A-
806/19, A-
307/19, A
982/12, I
722/10, -
443/06, A
392/19, A
752/19, A
417/14, A
118/19, A-
483/10, A
782/18, I
857/19, Aus
505/19, A-
14/19, A
53/19, A
28/16, A
687/19, I
597/15, A
643/13, A
690/13, A
602/13, A
463/18, A
304/19, A
558/17, I
73/98, I
322/12, A-
843/10, A
934/11, A
21/18, A
